"_id","_labels","addr","bandwith","cpu_usage","created_time","email","func","id","install_reason","ip","is_deleted","linkman","memory_usage","model","name","os","props","software","speed","status","supplier","tenant","type","uuid","vlan","_start","_end","_type","conn_type","end_port","start_port","type","uuid"
,,,,,,,,,,,,,,,,,,,,,,,,,,"105","147","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"147","148","CONNECTS","","","","Fiber","dgb_coresw12_Gi0/0/1--dgb_vpnpe1_Gi0/0"
,,,,,,,,,,,,,,,,,,,,,,,,,,"148","149","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"149","150","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"150","151","CONNECTS","","","","Fiber","dgb_vpnpe1_Gi0/1--dgb_acsw1_Gi1/0/2"
,,,,,,,,,,,,,,,,,,,,,,,,,,"151","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"149","152","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"152","153","CONNECTS","","","","Fiber","dgb_vpnpe1_Gi0/2--dgb_acsw1_Gi1/0/1"
,,,,,,,,,,,,,,,,,,,,,,,,,,"153","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"105","154","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"154","155","CONNECTS","","","","Fiber","dgb_coresw12_Gi1/0/19--dgb_acsw1_Gi1/0/8"
,,,,,,,,,,,,,,,,,,,,,,,,,,"155","106","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"156","157","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"157","158","CONNECTS","","","","Fiber","dgb_core1_ae0--dgb_coresw12_eth_trunk2"
,,,,,,,,,,,,,,,,,,,,,,,,,,"158","105","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"159","160","CONTAINS","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"160","161","CONNECTS","","","","Fiber","dgb_core2_ae0--dgb_coresw12_eth_trunk3"
,,,,,,,,,,,,,,,,,,,,,,,,,,"161","105","PART_OF","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"172","164","Connects","fib","p2","p1","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"172","165","Connects","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"172","166","Connects","","","","",""
,,,,,,,,,,,,,,,,,,,,,,,,,,"169","170","Connects","fib","p6","p5","",""
